ID,Entity,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,MainSentiment,Emotion,Cleaned_Text,Sentiment_Score,Sentiment_Predicted
16,CallOfDutyBlackopsColdWar, Reflecting on the past and looking ahead.          ,positive,19-01-2023 13:20, Reflections  ,Facebook, #Reflection #Future                     ,20,40, USA      ,2023,1,19,13,Positive,Positive,reflecting past looking ahead,0.0,Neutral
17,Amazon, Just adopted a cute furry friend! 🐾              ,positive,19-01-2023 17:10, PetAdopter   ,Instagram, #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17,Positive,Positive,adopted cute furry friend,0.7351,Positive
18,Overwatch, Late-night gaming session with friends.            ,positive,20-01-2023 0:05, GamerX       ,Twitter, #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0,Positive,Positive,latenight gaming session friend,0.4939,Positive
19,Xbox(Xseries), Attending a virtual conference on AI.              ,neutral,20-01-2023 11:30, TechConference,Facebook, #AI #TechConference                     ,25,50,USA,2023,1,20,11,Neutral,Neutral,attending virtual conference ai,0.0,Neutral
20,NBA2K, Winter blues got me feeling low.                   ,negative,20-01-2023 15:15, WinterBlues  ,Instagram, #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15,Negative,Negative,winter blue got feeling low,-0.1531,Negative
21,Dota3, Sipping coffee and enjoying a good book.           ,positive,21-01-2023 8:40, Bookworm     ,Twitter, #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8,Positive,Positive,sipping coffee enjoying good book,0.743,Positive
22,PlayStation5(PS5), Exploring the world of virtual reality.            ,positive,21-01-2023 13:20, VRExplorer   ,Facebook, #VR #VirtualReality                     ,15,30,USA,2023,1,21,13,Positive,Positive,exploring world virtual reality,0.0,Neutral
23,WorldOfCraft, Productive day ticking off my to-do list.          ,positive,21-01-2023 16:45, ProductivityPro,Instagram, #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16,Positive,Positive,productive day ticking todo list,0.0,Neutral
24,Google, Just finished a challenging workout routine.       ,positive,22-01-2023 9:15, FitnessWarrior,Twitter, #Fitness #ChallengeAccepted             ,20,40, UK       ,2023,1,22,9,Positive,Positive,finished challenging workout routine,0.1531,Positive
25,Facebook, Celebrating a milestone at work! 🎉               ,positive,22-01-2023 14:30, CareerMilestone,Facebook, #Career #Milestone                      ,12,25, Canada  ,2023,1,22,14,Positive,Positive,celebrating milestone work,0.5719,Positive
26,Microsoft, Sunday brunch with friends.                        ,positive,22-01-2023 12:00, BrunchBuddy  ,Instagram, #Brunch #Friends                       ,15,30, UK ,2023,1,22,12,Positive,Positive,sunday brunch friend,0.4939,Positive
27,ApexLegends, Learning a new language for personal growth.       ,positive,23-01-2023 16:20, LanguageLearner,Facebook, #LanguageLearning #PersonalGrowth       ,25,50, India     ,2023,1,23,16,Positive,Positive,learning new language personal growth,0.3818,Positive
28,FIFA, Quiet evening with a good book.                    ,positive,23-01-2023 19:45, BookLover    ,Instagram, #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19,Positive,Positive,quiet evening good book,0.4404,Positive
29,Borderlands, Reflecting on the importance of mental health.     ,positive,24-01-2023 11:30, MentalHealthMatters,Twitter, #MentalHealth #SelfCare                 ,22,45, USA      ,2023,1,24,11,Positive,Positive,reflecting importance mental health,0.3612,Positive
30,CallOfDutyBlackopsColdWar, New painting in progress! 🎨                       ,positive,24-01-2023 15:00, ArtistInAction,Facebook, #Art #PaintingInProgress             ,12,25, Canada ,2023,1,24,15,Positive,Positive,new painting progress,0.4215,Positive
31,Amazon, Weekend road trip to explore scenic views.         ,positive,24-01-2023 17:30, RoadTripper  ,Instagram, #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17,Positive,Positive,weekend road trip explore scenic view,0.0,Neutral
32,Overwatch, Enjoying a cup of tea and watching the sunset.     ,positive,25-01-2023 18:00, SunsetWatcher,Twitter, #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18,Positive,Positive,enjoying cup tea watching sunset,0.5267,Positive
33,Xbox(Xseries), Coding a new project with enthusiasm.              ,positive,25-01-2023 13:15, CodeEnthusiast,Facebook, #Coding #Enthusiasm                   ,30,60, USA ,2023,1,25,13,Positive,Positive,coding new project enthusiasm,0.4404,Positive
34,NBA2K, Feeling inspired after attending a workshop.       ,positive,26-01-2023 9:45, WorkshopAttendee,Instagram, #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9,Positive,Positive,feeling inspired attending workshop,0.5719,Positive
35,Dota4, Winter sports day at the local park.               ,positive,26-01-2023 14:20, WinterSports  ,Twitter, #WinterSports #Fun                     ,15,30, Canada   ,2023,1,26,14,Positive,Positive,winter sport day local park,0.0,Neutral
36,PlayStation5(PS5), Quality time with family this weekend.             ,positive,26-01-2023 17:40, FamilyTime   ,Facebook, #FamilyTime #Weekend                    ,22,45, UK        ,2023,1,26,17,Positive,Positive,quality time family weekend,0.0,Neutral
37,WorldOfCraft, Attending a live music concert tonight.            ,positive,27-01-2023 20:00, MusicLover   ,Instagram, #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20,Positive,Positive,attending live music concert tonight,0.0,Neutral
38,Google, Practicing mindfulness with meditation.            ,positive,27-01-2023 12:30, MindfulMoments,Twitter, #Mindfulness #Meditation               ,15,30, India    ,2023,1,27,12,Positive,Positive,practicing mindfulness meditation,0.0,Neutral
39,Facebook, Trying out a new dessert recipe.                   ,positive,27-01-2023 16:10, DessertExplorer,Facebook, #Dessert #Cooking                      ,12,25, Canada ,2023,1,27,16,Positive,Positive,trying new dessert recipe,0.0,Neutral
40,Microsoft, Excited about the upcoming gaming tournament.      ,positive,28-01-2023 9:00, GamingEnthusiast,Instagram, #Gaming #Tournament                     ,30,60,USA,2023,1,28,9,Positive,Positive,excited upcoming gaming tournament,0.34,Positive
41,ApexLegends, Planning a garden makeover for spring.             ,positive,28-01-2023 14:45, GardenPlanner ,Twitter, #Gardening #Spring                     ,25,50, USA      ,2023,1,28,14,Positive,Positive,planning garden makeover spring,0.0,Neutral
42,FIFA, Celebrating a friend's birthday tonight! 🎂       ,positive,28-01-2023 19:30, BirthdayBash ,Facebook, #Birthday #Celebration                  ,15,30, UK ,2023,1,28,19,Positive,Positive,celebrating friend birthday tonight,0.7845,Positive
43,Borderlands, Feeling accomplished after a productive day.       ,positive,29-01-2023 17:00, ProductivityWin,Instagram, #Accomplished #Success               ,22,45, India ,2023,1,29,17,Positive,Positive,feeling accomplished productive day,0.5267,Positive
44,CallOfDutyBlackopsColdWar, A cozy evening with a good movie.                 ,positive,29-01-2023 20:20, MovieNight   ,Twitter, #CozyNight #MovieTime                   ,18,35, Canada   ,2023,1,29,20,Positive,Positive,cozy evening good movie,0.4404,Positive
45,Amazon, Exploring local art galleries this weekend.        ,positive,30-01-2023 11:30, ArtExplorer  ,Facebook, #Art #GalleryExplore                    ,15,30, USA      ,2023,1,30,11,Positive,Positive,exploring local art gallery weekend,0.0,Neutral
46,Overwatch, New book release from my favorite author!          ,positive,30-01-2023 15:45, BookwormX    ,Instagram, #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15,Positive,Positive,new book release favorite author,0.4588,Positive
47,Xbox(Xseries), Attending a virtual reality meetup.                ,positive,30-01-2023 18:30, VRMeetup     ,Twitter, #VRMeetup #VirtualReality               ,28,55, India    ,2023,1,30,18,Positive,Positive,attending virtual reality meetup,0.0,Neutral
48,NBA2K, Reflecting on the beauty of nature.                ,positive,31-01-2023 10:45, NatureLover  ,Facebook, #Nature #Reflection                     ,15,30, Australia ,2023,1,31,10,Positive,Positive,reflecting beauty nature,0.5859,Positive
49,Dota5, Cooking a special dinner for loved ones.           ,positive,31-01-2023 19:00, ChefAtHome   ,Instagram, #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19,Positive,Positive,cooking special dinner loved one,0.765,Positive
50,PlayStation5(PS5), Feeling optimistic about the week ahead.           ,positive,31-01-2023 16:20, OptimisticMindset,Twitter, #Optimism #NewWeek                     ,15,30, Canada   ,2023,1,31,16,Positive,Positive,feeling optimistic week ahead,0.4215,Positive
51,WorldOfCraft, Starting a new fitness challenge tomorrow! 💪     ,positive,01-02-2023 8:00, FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings       ,22,45, UK         ,2023,2,1,8,Positive,Positive,starting new fitness challenge tomorrow,0.34,Positive
52,Google, Sunday bike ride through scenic trails.           ,positive,01-02-2023 13:30, BikeExplorer  ,Instagram, #BikeRide #ScenicTrails                ,18,35, USA     ,2023,2,1,13,Positive,Positive,sunday bike ride scenic trail,0.0,Neutral
53,Facebook, Can't believe the injustice happening in our society.,anger,11-02-2023 9:30, SocialJustice   ,Twitter, #Injustice #Angry                            ,20,40, Canada     ,2023,2,11,9,Negative,Anger,cant believe injustice happening society,0.4585,Positive
54,Microsoft, Feeling a sense of fear after watching a thriller movie. ,fear,11-02-2023 21:15, ThrillerFan     ,Instagram, #Fear #ThrillerMovie                         ,15,30, USA          ,2023,2,11,21,Negative,Fear,feeling sense fear watching thriller movie,-0.3182,Negative
55,ApexLegends, Heartbroken after hearing the news about a natural disaster. ,sadness,12-02-2023 14:45, EmpathyFirst    ,Facebook, #Sadness #NaturalDisaster                    ,25,50, India      ,2023,2,12,14,Negative,Sadness,heartbroken hearing news natural disaster,-0.7845,Negative
56,FIFA, The state of the world's environment is just disgusting. ,disgust,12-02-2023 18:20, EcoAwareness    ,Twitter, #Disgust #Environment                        ,18,35, UK         ,2023,2,12,18,Negative,Disgust,state world environment disgusting,-0.5267,Negative
57,Borderlands, Pure happiness: celebrating a loved one's achievement! ,happiness,13-02-2023 10:00, ProudFriend     ,Instagram, #Happiness #Celebration                   ,30,60, USA ,2023,2,13,10,Positive,Happiness,pure happiness celebrating loved one achievement,0.9042,Positive
58,CallOfDutyBlackopsColdWar, Laughter is the best medicine—enjoying a comedy show. ,joy,13-02-2023 19:30, ComedyFan       ,Facebook, #Joy #ComedyShow                             ,22,45, Canada    ,2023,2,13,19,Positive,Joy,laughter best medicineenjoying comedy show,0.872,Positive
59,Amazon, Sharing love and positive vibes with everyone! ❤️      ,love,14-02-2023 8:30, LoveSpreader    ,Twitter, #Love #SpreadLove                            ,15,30, Australia  ,2023,2,14,8,Positive,Love,sharing love positive vibe everyone,0.891,Positive
60,Overwatch, An amusing incident brightened up my day!               ,amusement,14-02-2023 14:20, AmusedSoul      ,Instagram, #Amusement #FunTimes                         ,18,35, UK           ,2023,2,14,14,Other,Amusement,amusing incident brightened day,0.6908,Positive
61,Xbox(Xseries), Enjoying a quiet evening with a book and some tea.      ,enjoyment,14-02-2023 19:45, BookLoverAgain  ,Facebook, #Enjoyment #BookTime                         ,25,50, Canada       ,2023,2,14,19,Other,Enjoyment,enjoying quiet evening book tea,0.5267,Positive
62,NBA2K, Admiring the beauty of nature during a peaceful hike.   ,admiration,15-02-2023 11:30, NatureAdmirer   ,Twitter, #Admiration #Nature                         ,20,40, USA       ,2023,2,15,11,Positive,Admiration,admiring beauty nature peaceful hike,0.8625,Positive
63,Dota6, Sending affectionate vibes to all my followers!          ,affection,15-02-2023 16:00, AffectionSender ,Instagram, #Affection #PositiveVibes                   ,15,30,USA,2023,2,15,16,Positive,Affection,sending affectionate vibe follower,0.4404,Positive
64,PlayStation5(PS5), Experiencing awe at the breathtaking sunset.            ,awe,15-02-2023 20:30, AweStruck       ,Facebook, #Awe #Breathtaking                          ,22,45, Australia   ,2023,2,15,20,Other,Awe,experiencing awe breathtaking sunset,0.4588,Positive
65,WorldOfCraft, Disappointed with the service at a local restaurant.    ,disappointed,16-02-2023 9:00, FoodieGoneWrong ,Twitter, #Disappointed #BadService                   ,18,35, India      ,2023,2,16,9,Other,Disappointed,disappointed service local restaurant,-0.4767,Negative
66,Google, A surprise gift from a friend made my day!              ,surprise,16-02-2023 14:45, HappySurprise   ,Instagram, #Surprise #Gift                              ,25,50, USA          ,2023,2,16,14,Neutral,Surprise,surprise gift friend made day,0.802,Positive
67,Facebook, Finding acceptance in the midst of life's challenges.   ,acceptance,16-02-2023 18:20, AcceptanceSeeker,Facebook, #Acceptance #Challenges                     ,15,30, Canada     ,2023,2,16,18,Neutral,Acceptance,finding acceptance midst life challenge,0.5106,Positive
68,Microsoft, Overflowing with adoration for my adorable pet! 🐾      ,adoration,17-02-2023 10:45, PetAdorer       ,Twitter, #Adoration #PetLove                         ,22,45, UK        ,2023,2,17,10,Other,Adoration,overflowing adoration adorable pet,0.7964,Positive
69,ApexLegends, Anticipating a thrilling adventure in the coming weeks. ,anticipation,17-02-2023 7:30, AdventureAwaits  ,Instagram, #Anticipation #Adventure                    ,20,40,USA,2023,2,17,7,Other,Anticipation,anticipating thrilling adventure coming week,0.6597,Positive
70,FIFA, A bitter experience turned into a valuable lesson.      ,bitter,17-02-2023 15:00, LearnFromBitter ,Facebook, #BitterLesson #Growth                      ,18,35, USA       ,2023,2,17,15,Other,Bitter,bitter experience turned valuable lesson,0.0772,Positive
71,Borderlands, Finding calmness in the midst of a busy day.            ,calmness,18-02-2023 9:30, ZenMaster       ,Twitter, #Calmness #PeacefulMind                    ,15,30, India     ,2023,2,18,9,Neutral,Calmness,finding calmness midst busy day,0.4019,Positive
72,CallOfDutyBlackopsColdWar, Confusion clouds my mind as I navigate through decisions.,confusion,18-02-2023 14:20, ConfusedMind    ,Instagram, #Confusion #DecisionMaking                 ,25,50, UK   ,2023,2,18,14,Neutral,Confusion,confusion cloud mind navigate decision,-0.296,Negative
73,Amazon, Excitement building up for the upcoming vacation!       ,excitement,18-02-2023 18:45, VacationDreamer ,Facebook, #Excitement #TravelPlans                   ,22,45, Canada    ,2023,2,18,18,Positive,Excitement,excitement building upcoming vacation,0.4939,Positive
74,Overwatch, Kindness witnessed today restored my faith in humanity. ,kind,19-02-2023 11:30, KindnessPrevails,Twitter, #Kindness #Humanity                        ,20,40, USA       ,2023,2,19,11,Other,Kind,kindness witnessed today restored faith humanity,0.802,Positive
75,Xbox(Xseries), Pride in achieving a personal milestone.               ,pride,19-02-2023 16:00, PersonalAchiever,Instagram, #Pride #Milestone                           ,30,60, Australia    ,2023,2,19,16,Positive,Pride,pride achieving personal milestone,0.34,Positive
76,NBA2K, A moment of shame for not standing up against injustice. ,shame,19-02-2023 19:45, ReflectiveSelf  ,Facebook, #Shame #Injustice                           ,15,30, India      ,2023,2,19,19,Negative,Shame,moment shame standing injustice,-0.7783,Negative
77,Dota7, Fuming with anger after a heated argument.            ,anger,20-02-2023 9:30, AngryDebater    ,Twitter, #Anger #Argument                             ,20,40, Canada     ,2023,2,20,9,Negative,Anger,fuming anger heated argument,-0.872,Negative
78,PlayStation5(PS5), The fear of the unknown is keeping me up at night.    ,fear,20-02-2023 21:15, FearfulDreamer  ,Instagram, #Fear #Unknown                               ,15,30, USA          ,2023,2,20,21,Negative,Fear,fear unknown keeping night,-0.4939,Negative
79,WorldOfCraft, Heartfelt sadness after bidding farewell to a dear friend. ,sadness,21-02-2023 14:45, FarewellHeart   ,Facebook, #Sadness #Farewell                          ,25,50, India      ,2023,2,21,14,Negative,Sadness,heartfelt sadness bidding farewell dear friend,0.7506,Positive
80,Google, The state of corruption in our society is utterly disgusting. ,disgust,21-02-2023 18:20, AntiCorruption  ,Twitter, #Disgust #Corruption                         ,18,35, UK         ,2023,2,21,18,Negative,Disgust,state corruption society utterly disgusting,-0.5709,Negative
81,Facebook, Overflowing happiness: welcoming a new family member!  ,happiness,22-02-2023 10:00, NewParentJoy    ,Instagram, #Happiness #NewFamilyMember                 ,30,60, UK           ,2023,2,22,10,Positive,Happiness,overflowing happiness welcoming new family member,0.7579,Positive
82,Microsoft, Laughter is the key to joy—attending a stand-up comedy show. ,joy,22-02-2023 19:30, StandUpFan      ,Facebook, #Joy #StandUpComedy                         ,22,45, Canada    ,2023,2,22,19,Positive,Joy,laughter key joyattending standup comedy show,0.6908,Positive
83,ApexLegends, Sending love to all my followers on this beautiful day! ❤️ ,love,23-02-2023 8:30, LoveSender      ,Twitter, #Love #SpreadLove                            ,15,30, Australia  ,2023,2,23,8,Positive,Love,sending love follower beautiful day,0.8442,Positive
84,FIFA, Amused by the antics of my pet—it's pure amusement!      ,amusement,23-02-2023 14:20, PetAmuser       ,Instagram, #Amusement #PetAntics                       ,18,35, UK           ,2023,2,23,14,Other,Amusement,amused antic petits pure amusement,0.6486,Positive
85,Borderlands, Enjoying every moment of this trip—pure enjoyment!      ,enjoyment,23-02-2023 19:45, TravelExplorer  ,Facebook, #Enjoyment #Travel                           ,25,50, USA ,2023,2,23,19,Other,Enjoyment,enjoying every moment trippure enjoyment,0.7906,Positive
86,CallOfDutyBlackopsColdWar, Admiring the dedication of volunteers at a local charity. ,admiration,24-02-2023 11:30, CharityAdmirer  ,Twitter, #Admiration #Volunteers                     ,20,40, USA        ,2023,2,24,11,Positive,Admiration,admiring dedication volunteer local charity,0.6597,Positive
87,Amazon, Sending affectionate vibes to friends and family.        ,affection,24-02-2023 16:00, FamilyLover     ,Instagram, #Affection #FamilyLove                      ,15,30,USA,2023,2,24,16,Positive,Affection,sending affectionate vibe friend family,0.7269,Positive
88,Overwatch, Awe-struck by the beauty of the night sky.               ,awe,24-02-2023 20:30, Stargazer       ,Facebook, #Awe #StarryNight                        ,22,45, Australia ,2023,2,24,20,Other,Awe,awestruck beauty night sky,0.5859,Positive
89,Xbox(Xseries), Disappointed with the lack of progress in a personal project. ,disappointed,25-02-2023 9:00, ProjectStruggle ,Twitter, #Disappointed #Project                     ,18,35, India      ,2023,2,25,9,Other,Disappointed,disappointed lack progress personal project,-0.3818,Negative
90,NBA2K, A surprise visit from an old friend brought tears of joy. ,surprise,25-02-2023 14:45, JoyfulReunion   ,Instagram, #Surprise #OldFriends                       ,25,50, USA          ,2023,2,25,14,Neutral,Surprise,surprise visit old friend brought tear joy,0.8442,Positive
91,Dota8, Embracing acceptance of life's ups and downs.           ,acceptance,25-02-2023 18:20, LifeAcceptance  ,Facebook, #Acceptance #LifeJourney                   ,15,30, Canada     ,2023,2,25,18,Neutral,Acceptance,embracing acceptance life ups,0.4588,Positive
92,PlayStation5(PS5), Overflowing adoration for a cute rescue puppy! 🐶       ,adoration,26-02-2023 10:45, PuppyAdmirer    ,Twitter, #Adoration #PuppyLove                       ,22,45, UK         ,2023,2,26,10,Other,Adoration,overflowing adoration cute rescue puppy,0.8807,Positive
93,WorldOfCraft, Anticipating the release of a much-awaited movie.       ,anticipation,26-02-2023 7:30, MovieBuff2      ,Instagram, #Anticipation #MovieRelease                 ,20,40, Australia    ,2023,2,26,7,Other,Anticipation,anticipating release muchawaited movie,0.0,Neutral
94,Google, Bitter experience at the customer service department.   ,bitter,26-02-2023 15:00, CustomerWoes    ,Facebook, #BitterExperience #CustomerService         ,18,35, USA       ,2023,2,26,15,Other,Bitter,bitter experience customer service department,-0.4215,Negative
95,Facebook, Finding calmness amidst the chaos of daily life.        ,calmness,27-02-2023 9:30, CalmSoul        ,Twitter, #Calmness #InnerPeace                      ,15,30, India     ,2023,2,27,9,Neutral,Calmness,finding calmness amidst chaos daily life,-0.25,Negative
96,Microsoft, Confusion reigns as I try to make sense of recent events.,confusion,27-02-2023 14:20, ConfusedMind2   ,Instagram, #Confusion #MakingSense                    ,25,50, UK   ,2023,2,27,14,Neutral,Confusion,confusion reign try make sense recent event,-0.296,Negative
97,ApexLegends, Excitement building up for a surprise birthday party.   ,excitement,27-02-2023 18:45, BirthdayExcite  ,Facebook, #Excitement #SurpriseParty                 ,22,45, Canada ,2023,2,27,18,Positive,Excitement,excitement building surprise birthday party,0.7906,Positive
98,FIFA, Witnessed an act of kindness that made my day.          ,kind,28-02-2023 11:30, KindnessObserver,Twitter, #Kindness #ActsOfKindness                  ,20,40, USA       ,2023,2,28,11,Other,Kind,witnessed act kindness made day,0.4588,Positive
99,Borderlands, Pride in completing a challenging fitness challenge.    ,pride,28-02-2023 16:00, FitAchiever     ,Instagram, #Pride #FitnessChallengeCompleted          ,30,60, UK            ,2023,2,28,16,Positive,Pride,pride completing challenging fitness challenge,0.6597,Positive
100,CallOfDutyBlackopsColdWar, A moment of shame for not speaking up against injustice.,shame,28-02-2023 19:45, ReflectiveSelf2 ,Facebook, #Shame #Injustice                           ,15,30, India     ,2023,2,28,19,Negative,Shame,moment shame speaking injustice,-0.7783,Negative
101,Amazon, Reflecting on the beauty of diversity in our world.     ,acceptance,01-03-2023 10:45, DiversityLover  ,Twitter, #Acceptance #Diversity                      ,22,45, Australia ,2023,3,1,10,Neutral,Acceptance,reflecting beauty diversity world,0.5859,Positive
102,Overwatch, Excitement for a quiet evening with a good book.        ,excitement,01-03-2023 13:30, BookwormJoy     ,Instagram, #Excitement #BookTime                       ,18,35, USA          ,2023,3,1,13,Positive,Excitement,excitement quiet evening good book,0.7269,Positive
103,Xbox(Xseries), Feeling bitter about the unfairness in the workplace.   ,bitter,01-03-2023 17:45, WorkplaceWoes   ,Twitter, #Bitter #Unfairness                         ,15,30, Canada    ,2023,3,1,17,Other,Bitter,feeling bitter unfairness workplace,-0.3182,Negative
104,NBA2K, Calmness prevails as I practice mindfulness.            ,calmness,02-03-2023 18:00, MindfulMe       ,Facebook, #Calmness #Mindfulness                      ,15,30, UK        ,2023,3,2,18,Neutral,Calmness,calmness prevails practice mindfulness,0.4019,Positive
105,Dota9, Confusion surrounds me as I navigate through life's choices. ,confusion,02-03-2023 13:15, ConfusedMind3   ,Instagram, #Confusion #LifeChoices                     ,30,60, USA   ,2023,3,2,13,Neutral,Confusion,confusion surround navigate life choice,-0.296,Negative
106,PlayStation5(PS5), Excitement for a weekend road trip to explore new places. ,excitement,02-03-2023 16:45, RoadTripper2    ,Twitter, #Excitement #WeekendAdventure               ,25,50, India     ,2023,3,2,16,Positive,Excitement,excitement weekend road trip explore new place,0.4939,Positive
107,WorldOfCraft, Kindness witnessed today restores my faith in humanity.  ,kind,03-03-2023 11:30, KindnessPrevails2,Facebook, #Kindness #HumanityRestored                 ,22,45, USA       ,2023,3,3,11,Other,Kind,kindness witnessed today restores faith humanity,0.7906,Positive
108,Google, Pride in accomplishing personal and professional goals.  ,pride,03-03-2023 14:30, GoalAchiever    ,Instagram, #Pride #Accomplishments                     ,12,25, Canada ,2023,3,3,14,Positive,Pride,pride accomplishing personal professional goal,0.34,Positive
109,Facebook, Shame for not being true to my values in a difficult situation.,shame,03-03-2023 12:00, ReflectiveSelf3 ,Twitter, #Shame #Integrity                           ,15,30, UK        ,2023,3,3,12,Negative,Shame,shame true value difficult situation,-0.1027,Negative
110,Microsoft," Revisiting old memories, feeling a sense of elation. ",elation,15-05-2010 15:30, NostalgiaFan    ,Twitter, #Elation #Memories                             ,20,40, Canada    ,2010,5,15,15,Positive,Elation,revisiting old memory feeling sense elation,0.4588,Positive
111,ApexLegends, The victory of our team brought euphoria to the city. ,euphoria,10-08-2021 21:15, SportsFanatic   ,Instagram, #Euphoria #Victory                             ,15,30, USA      ,2021,8,10,21,Other,Euphoria,victory team brought euphoria city,0.6486,Positive
112,FIFA," Embracing the beauty of nature, a moment of contentment. ",contentment,20-06-2011 14:45, NatureLover2    ,Facebook, #Contentment #Nature                           ,25,50, India       ,2011,6,20,14,Positive,Contentment,embracing beauty nature moment contentment,0.743,Positive
113,Borderlands," Meditating by the serene lake, finding inner peace.   ",serenity,12-02-2022 18:20, ZenMaster2      ,Twitter, #Serenity #Meditation                          ,18,35, UK          ,2022,2,12,18,Positive,Serenity,meditating serene lake finding inner peace,0.7579,Positive
114,CallOfDutyBlackopsColdWar, Overflowing with gratitude for life's blessings.      ,gratitude,25-11-2012 10:00, ThankfulHeart   ,Instagram, #Gratitude #Blessed                            ,30,60, Australia   ,2012,11,25,10,Positive,Gratitude,overflowing gratitude life blessing,0.7579,Positive
115,Amazon," Hopeful for a brighter tomorrow, despite challenges.  ",hope,05-04-2013 19:30, OptimisticSoul  ,Facebook, #Hope #Optimism                                ,22,45, USA      ,2013,4,5,19,Positive,Hope,hopeful brighter tomorrow despite challenge,0.6886,Positive
